City,Number_crimes
Elmira,83
ElmiraHeightsVillage,4
ElmiraTown,0
ElmoreCity,10
ElmsfordVillage,3
Elmwood,2
ElmwoodPark,90
Elon,8
Elsa,20
Elsie,0
ElsinboroTownship,2
Elsmere,20
Elwood,27
Ely,2
Elyria,137
Emerado,0
Emerson,8
Emeryville,166
Eminence,1
Emmetsburg,8
Emmett,25
EmmettTownship,43
Emporia,48
Emporium,5
Encinitas,86
Endeavor,0
Energy,0
Enfield,77
England,21
Englewood,173
EnglewoodCliffs,1
Englishtown,3
Enid,204
Ennis,20
Enoch,20
Enumclaw,6
Ephraim,21
Ephrata,17
EphrataTownship,8
Epping,3
Epps,0
Epsom,3
Erath,7
Erick,0
Erie,504
Erin,2
Erlanger,16
Erving,0
Erwin,40
Escalon,16
Escanaba,60
Escondido,536
Essex,19
EssexFells,0
Essexville,0
Estancia,1
EstesPark,10
Estherville,9
Estill,37
EstillSprings,16
Ethridge,2
Etna,8
Eton,0
Etowah,15
Eubank,0
Euclid,243
Eudora,17
Eufaula,10
Eugene,675
Euless,107
Eunice,52
Eureka,221
EurekaSprings,22
Eustis,53
Eutawville,2
Evans,47
EvansTown,20
Evansdale,18
Evanston,144
Evansville,728
Evart,13
Evarts,0
Eveleth,11
Evendale,5
EverestMetropolitan,76
Everett,586
EvergreenPark,62
Everson,1
EveshamTownship,29
EwingTownship,60
ExcelsiorSprings,15
Exeter,54
Exmore,9
FairBluff,1
FairHaven,5
FairHavenTownship,0
FairLawn,7
FairOaksRanch,6
Fairbanks,247
Fairborn,88
Fairburn,77
Fairbury,7
Fairfax,22
FairfaxCity,18
Fairfield,582
FairfieldBay,10
FairfieldTownship,21
FairfieldTownshipEssexCounty,0
Fairhaven,51
Fairmont,40
FairmontCity,0
Fairmount,9
FairmountHeights,10
Fairplay,0
FairportVillage,2
Fairview,65
FairviewHeights,41
FairviewPark,7
Faith,0
Falfurrias,15
FallCreek,1
FallRiver,774
FallsChurch,10
FallsCity,8
Falmouth,117
Fanwood,2
FarHills,0
Farber,0
Fargo,574
Faribault,61
FarmersBranch,63
Farmersville,42
Farmerville,19
Farmington,131
FarmingtonHills,87
Farmville,58
Farwell,2
Fate,6
FawnTownship,2
Fayette,7
FayetteCity,0
Fayetteville,2284
FederalWay,330
Federalsburg,14
Fellsmere,5
Felton,2
Fennimore,6
Fennville,0
Fenton,21
FergusFalls,47
Ferguson,0
FernandinaBeach,25
Ferndale,54
Ferris,6
Fessenden,0
Fieldsboro,0
Fife,78
Fillmore,20
Findlay,107
Fircrest,11
Firebaugh,11
Firestone,6
Fisher,0
Fishers,51
FishkillTown,8
FishkillVillage,1
Fitchburg,310
Fithian,0
Fitzwilliam,0
FlaglerBeach,3
Flagstaff,367
Flandreau,18
FlatRock,17
Flatonia,1
Flatwoods,1
Fleming,0
FlemingNeon,0
Flemingsburg,2
Flemington,10
Flint,1284
FlintTownship,241
Flippin,5
Floodwood,1
Flora,6
FloralParkVillage,8
FlordellHills,6
Florence,569
FlorenceTownship,17
Floresville,19
FlorhamPark,1
FloridaCity,319
FloridaVillage,0
Flossmoor,14
FlowerMound,43
Flowood,19
Floydada,17
Flushing,6
FlushingTownship,11
Foley,0
Folkston,31
Folsom,82
FondduLac,134
Fontana,741
FordCity,4
Fordland,2
Fordyce,42
ForestAcres,64
ForestCity,42
ForestGrove,52
ForestHeights,9
ForestHill,36
ForestLake,30
ForestPark,255
ForestView,4
Foristell,3
Forks,11
ForksTownship,4
Forney,32
ForrestCity,129
Forsyth,5
ForsythTownship,12
FortAtkinson,26
FortBragg,32
FortCobb,0
FortCollins,371
FortDodge,101
FortEdwardVillage,2
FortFairfield,1
FortGibson,12
FortJones,2
FortKent,0
FortLauderdale,1098
FortLee,25
FortMadison,69
FortMill,22
FortMitchell,7
FortMorgan,43
FortMyers,486
FortPierce,259
FortPlainVillage,9
FortScott,39
FortSmith,863
FortStockton,27
FortThomas,5
FortTowson,4
FortWaltonBeach,68
FortWayne,974
FortWorth,4068
FortWright,4
Fortuna,28
Foster,3
FosterCity,39
FosterTownshipMcKeanCounty,4
Fountain,127
FountainInn,45
FountainValley,53
FourOaks,7
Fowler,29
Fowlerville,5
FoxCrossing,25
FoxLake,20
FoxPoint,3
FoxRiverGrove,2
FoxValleyMetro,25
Foxborough,35
Frackville,6
Framingham,297
Franconia,1
Frankenmuth,5
Frankfort,100
FrankfortTown,3
FrankfortVillage,6
Franklin,342
FranklinLakes,5
FranklinPark,41
FranklinSprings,0
FranklinTownshipColumbiaCounty,3
FranklinTownshipGloucesterCounty,15
FranklinTownshipHunterdonCounty,0
FranklinTownshipSomersetCounty,58
Franklinton,44
FranklinvilleVillage,0
Frankston,2
Fraser,33
FraserWinterPark,14
Frazeysburg,3
Frederick,318
Fredericksburg,13
Fredericktown,5
Fredonia,1
Freeburg,3
Freedom,0
FreeholdBorough,22
FreeholdTownship,34
Freeman,1
Freeport,96
FreeportVillage,72
Freetown,15
Fremont,460
FrenchSettlement,1
Frenchtown,0
Fridley,88
Friendship,5
FriendshipTown,0
Friendswood,26
Friona,3
Frisco,171
FrontRoyal,28
Frontenac,12
Frostburg,14
Fruita,22
Fruitland,18
FruitlandPark,25
FruitportTownship,16
Fryeburg,1
Fulda,0
Fullerton,373
Fulshear,0
Fulton,11
FuquayVarina,26
Gadsden,0
Gaffney,102
Gagetown,0
Gahanna,44
GainesTownship,3
Gainesboro,0
Gainesville,1017
Galax,29
Galena,12
GalenaPark,22
Galesburg,138
Galesville,0
Galien,0
Gallatin,117
Gallaway,1
Gallipolis,8
GallowayTownship,62
Gallup,437
Galt,77
Galveston,243
GalwayVillage,0
Ganado,3
Gans,1
GardenCity,279
GardenCityVillage,9
GardenGrove,505
GardenPlain,0
GardenRidge,0
Gardena,324
Gardiner,4
Gardner,102
Garfield,51
GarfieldTownship,0
Garland,738
Garner,79
Garnett,7
Garwood,1
Gary,414
Gassville,9
Gaston,4
GateCity,4
Gates,2
GatesMills,0
GatesTown,55
Gatesville,23
Gatlinburg,20
Gautier,53
Gaylord,23
Gearhart,0
Geary,6
GeddesTown,4
GeneseeTownship,63
GeneseoVillage,3
Geneva,36
GenevaTown,2
Genoa,8
GenoaCity,0
Gentry,15
Georgetown,299
Gering,9
Germantown,63
GerrishTownship,2
Gervais,2
Gibbsboro,1
Gibraltar,4
Gibson,0
GibsonCity,5
Gibsonville,17
Giddings,26
Gifford,1
GigHarbor,14
Gilbert,248
Gilberts,1
Gilford,5
Gill,0
Gillespie,23
Gillett,0
Gillette,43
Gilman,1
Gilmanton,7
Gilmer,32
Gilroy,251
GladeSpring,0
Gladewater,14
Gladstone,118
Gladwin,18
Glasford,0
Glasgow,40
Glassboro,31
Glastonbury,22
Gleason,5
GlenCarbon,4
GlenCove,5
GlenDale,1
GlenEllyn,20
GlenParkVillage,0
GlenRidge,4
GlenRock,0
Glenarden,4
Glencoe,7
Glendale,1178
GlendaleHeights,28
Glendive,5
Glendora,155
GlennHeights,45
Glennville,5
Glenpool,78
Glenrock,3
GlensFalls,28
Glenview,50
GlenvilleTown,12
Glenwood,46
GlenwoodSprings,27
Globe,134
Glocester,4
Gloucester,58
GloucesterCity,20
GloucesterTownship,63
Glouster,3
Gloversville,66
Goddard,4
Godley,2
Goessel,0
Goffstown,18
GoldBar,5
GoldenBeach,1
GoldenValley,18
Goldendale,9
Goldsboro,267
Goleta,40
Golf,0
Gonzales,159
Goodfield,1
Gooding,2
Goodland,15
Goodlettsville,53
Goodman,0
Goodview,3
Goodwell,0
Goodyear,172
Gordonsville,9
Gore,2
Gorham,10
Goshen,0
GoshenTown,2
GoshenTownshipClermontCounty,16
GoshenTownshipMahoningCounty,3
GoshenVillage,2
Gosnell,14
Gothenburg,0
Gouldsboro,0
GowandaVillage,4
Graceville,15
Grafton,34
Graham,10
GrainValley,21
Gramercy,4
Granbury,26
Granby,9
GrandBlanc,11
GrandBlancTownship,61
GrandChute,69
GrandCoulee,8
GrandForks,166
GrandHaven,28
GrandIsland,236
GrandJunction,236
GrandLedge,5
GrandPrairie,428
GrandRapids,1309
GrandRidge,0
GrandSaline,4
GrandTerrace,37
Grandfield,1
Grandview,202
GrandviewHeights,9
GrandviewPlaza,18
Grandville,39
Grangeville,7
Granite,4
GraniteCity,233
GraniteFalls,7
GraniteShoals,7
Grant,1
GrantPark,1
Grantfork,0
Grantham,0
Grants,49
GrantsPass,121
Grantsburg,6
Grantsville,36
Grantville,24
Granville,5
GranvilleVillage,3
GrassValley,73
Gravette,14
Grayling,7
GraymoorDevondale,1
Grayslake,13
Grayson,5
Graysville,11
Grayville,7
GreatBarrington,11
GreatFalls,309
GreatNeckEstatesVillage,0
GreeceTown,167
Greeley,386
GreenBay,529
GreenBrookTownship,1
GreenCoveSprings,30
GreenForest,18
GreenLake,1
GreenMountainFalls,0
GreenOakTownship,15
GreenRiver,22
GreenTownship,37
GreenacresCity,117
Greenbelt,110
Greenbrier,33
GreenburghTown,43
Greendale,13
GreeneCountyRegionalPoliceDepartment,1
GreeneVillage,0
Greeneville,50
Greenfield,257
Greenhills,1
Greenland,6
GreenportTown,0
Greensboro,2443
Greensburg,5
Greenup,3
Greenville,955
Greenwich,22
GreenwichTownshipGloucesterCounty,2
GreenwichTownshipWarrenCounty,1
GreenwichVillage,0
Greenwood,484
GreenwoodLakeVillage,2
Greer,143
Gregory,3
Gresham,490
Gretna,125
Greybull,0
Gridley,29
Griffith,11
Grinnell,39
Groesbeck,5
GrosseIleTownship,1
GrossePointe,6
GrossePointeFarms,9
GrossePointePark,14
GrossePointeShores,1
GrossePointeWoods,25
Groton,24
GrotonLongPoint,0
GrotonTown,34
GrotonVillage,0
Grottoes,1
Grove,17
GroveCity,50
Groveland,28
Groveport,10
GroverBeach,13
Groves,85
Grovetown,22
Grundy,1
Guadalupe,15
GuilderlandTown,23
Guilford,10
GulfBreeze,5
GulfStream,2
Gulfport,264
GunBarrelCity,10
Gunnison,20
Gunter,2
Gurdon,19
Gurnee,40
Gustine,21
Guthrie,22
Guttenberg,27
Guymon,36
Hackensack,103
Hackettstown,3
HaddonHeights,3
HaddonTownship,33
Haddonfield,5
Hadley,26
Hagerman,1
Hagerstown,224
Hailey,20
Haileyville,2
Haines,9
HainesCity,45
Hainesville,4
Haledon,31
HalesCorners,6
Halifax,10
HallandaleBeach,178
Hallettsville,13
Hallock,0
Hallowell,4
Halls,3
Halstead,1
HaltomCity,126
Hamburg,18
HamburgTown,43
HamburgTownship,5
HamburgVillage,2
Hamden,199
Hamel,3
Hamilton,299
HamiltonTownshipAtlanticCounty,49
HamiltonTownshipMercerCounty,122
HamiltonTownshipWarrenCounty,13
HamiltonVillage,0
Hamlin,2
Hammond,315
Hammonton,25
Hampden,2
Hampshire,10
Hampstead,14
Hampton,463
HamptonFalls,2
HamptonTownship,16
Hamtramck,174
Hanahan,55
Hancock,6
HancockVillage,2
Hanford,257
Hanna,0
Hanover,47
HanoverPark,30
HanoverTownship,12
Hanson,17
Harahan,12
HarborBeach,9
HarborSprings,1
Hardeeville,53
Hardin,1
HardingTownship,3
Hardinsburg,2
Hardwick,19
HardystonTownship,1
HarkerHeights,65
Harlan,13
Harlingen,273
HarperWoods,110
Harrah,5
Harriman,29
HarrimanVillage,3
Harrington,35
HarringtonPark,0
Harrisburg,518
Harrison,103
HarrisonTown,0
HarrisonTownship,1
Harrisonburg,112
Harrisonville,28
Harrisville,11
Harrodsburg,9
Hart,17
Hartford,1106
HartfordCity,15
HartfordTownship,0
Hartland,9
Hartshorne,3
Hartsville,108
Hartville,0
Harvard,24
Harvey,0
HarveyCedars,0
HarveysLake,0
Harwich,22
HarwoodHeights,33
HasbrouckHeights,3
Haskell,27
Hastings,102
HastingsonHudsonVillage,2
Hatch,16
Hatfield,2
Hattiesburg,106
Havana,34
Havelock,52
Haven,1
Havensville,0
Haverhill,351
HavredeGrace,36
HawRiver,5
HawaiianGardens,76
Hawarden,8
Hawesville,0
Hawkins,4
Hawley,1
Haworth,1
HawthornWoods,2
Hawthorne,636
Hayden,9
Haymarket,0
Hays,56
Haysi,0
Hayti,23
Hayward,560
Hazard,14
HazelCrest,61
HazelGreen,0
HazelPark,40
Hazelwood,113
Hazen,6
HazletTownship,31
Healdsburg,17
Healdton,7
Hearne,16
Heath,36
Heavener,9
Heber,11
HeberSprings,24
Hector,0
HedwigVillage,6
Helena,190
HelenaWestHelena,187
Helmetta,0
Helotes,2
Helper,5
Hemet,343
Hemingway,2
HempsteadVillage,297
Henderson,965
Hendersonville,161
Hennessey,5
Henniker,12
Henning,0
Henry,0
Henryetta,11
Herculaneum,5
Hercules,31
Hereford,81
Herington,7
HeritageCreek,0
HerkimerVillage,41
Hermann,3
Hermantown,9
Hermiston,47
HermosaBeach,51
Herndon,64
Herrin,43
Herscher,1
Hertford,13
Hesperia,465
Hesston,6
Hewitt,13
Heyburn,2
HiNella,2
Hialeah,503
HialeahGardens,30
Hiawatha,36
Hibbing,41
Hickman,0
Hickory,165
HickoryCreek,5
HickoryHills,21
Hidalgo,50
HiddenHills,1
Higginsville,3
HighBridge,1
HighPoint,828
HighSprings,28
Highland,399
HighlandBeach,4
HighlandHeights,5
HighlandPark,273
HighlandTownship,8
HighlandVillage,8
Highlands,6
HighlandsTown,0
Highlandville,0
Highspire,12
Hightstown,6
HillCity,1
HillCountryVillage,3
Hilliard,26
Hillsboro,339
HillsboroBeach,2
Hillsborough,55
HillsboroughTownship,13
Hillsdale,40
Hillside,29
HillsideTownship,64
Hillsville,7
HilltownTownship,13
Hillview,8
Hinckley,0
HinckleyTownship,3
Hines,1
Hinesburg,5
Hingham,30
Hinsdale,10
Hinton,2
HoHoKus,0
Hobart,47
HobartLawrence,8
Hoboken,79
Hodgenville,4
Hodgkins,7
HoffmanEstates,65
Hohenwald,22
Hoisington,6
Hokah,0
Holbrook,72
Holden,3
Holdenville,20
Holderness,0
Holdrege,14
Holland,129
HollandTownship,2
HolleyVillage,1
Hollis,11
Hollister,121
Holliston,13
HollowRock,0
Holly,5
HollyHill,56
HollyRidge,9
HollySprings,25
Hollywood,456
HollywoodPark,4
HolmdelTownship,17
Holmen,9
HolmesBeach,0
Holton,5
Holtville,14
Holyoke,345
Holyrood,0
Homer,12
HomerGlen,6
HomerVillage,1
Homerville,2
Homestead,684
Homewood,35
Hominy,14
Honaker,2
Hondo,36
HoneaPath,12
HoneyGrove,2
Honolulu,2638
HoodRiver,13
Hooker,1
Hooks,2
Hooksett,12
Hoopeston,37
HoosickFallsVillage,5
Hoover,114
Hopatcong,8
Hope,70
HopeMills,111
Hopedale,12
Hopewell,75
HopewellBorough,0
HopewellTownship,7
Hopkins,33
Hopkinsville,90
Hopkinton,5
Horicon,2
HorizonCity,7
HornLake,31
Hornbeak,0
Hornersville,1
HorseCave,1
HorseheadsVillage,4
HorseshoeBay,7
Horton,3
Hortonville,1
HotSprings,252
Hotchkiss,2
Houghton,3
Houlton,20
Houma,209
Houston,25263
HowardLake,1
Howardville,1
Howe,7
Howell,32
HowellTownship,31
HoweyintheHills,3
HowlandTownship,20
Hoxie,5
HuachucaCity,6
Hubbard,7
HubbardTownship,6
HuberHeights,76
Hudson,74
HudsonFallsVillage,14
HudsonOaks,6
Hughestown,1
Hughson,5
Hugo,24
Hulbert,1
Hull,47
Humansville,3
Humble,189
Humboldt,63
Huntersville,79
Huntingdon,1
Huntington,333
HuntingtonBayVillage,0
HuntingtonBeach,386
HuntingtonPark,458
HuntingtonWoods,0
Huntland,0
Huntley,4
Huntsville,1
Hurley,3
Hurlock,2
Huron,147
HuronTownship,26
Hurricane,36
Hurst,82
HurstbourneAcres,0
Hurt,2
Hutchins,23
Hutchinson,184
Hyattsville,85
HydeParkTown,4
Hyden,0
Hydro,0
Hypoluxo,2
Iberia,1
Ida,0
Idabel,43
IdahoFalls,172
IdahoSprings,14
Idalou,10
Ignacio,4
IlionVillage,38
Ilwaco,2
ImlayCity,6
Imperial,5
ImperialBeach,72
Ina,0
Independence,854
IndependenceTown,2
IndependenceTownship,36
IndependenceTownshipBeaverCounty,2
Indialantic,4
IndianBeach,0
IndianCreekVillage,0
IndianHarbourBeach,4
IndianHeadPark,1
IndianHill,0
IndianHills,0
IndianRiverShores,0
IndianRocksBeach,8
IndianShores,1
IndianWells,13
Indiana,88
Indianola,115
Indio,530
Industry,72
Ingleside,23
Inglewood,671
Ingram,6
Inkster,242
InletTown,0
Inman,8
Interlaken,0
InternationalFalls,13
InverGroveHeights,78
Inverness,0
Iola,23
Ione,11
Ionia,44
Iowa,11
IowaCity,167
IowaFalls,11
IowaPark,3
Ipswich,19
Irmo,39
IronMountain,7
IronRidge,0
IronRiver,16
Ironton,19
Ironwood,8
Irvine,190
Irving,617
Irvington,282
IrvingtonVillage,0
Irwindale,26
Isanti,6
Ishpeming,12
IshpemingTownship,3
IslandHeights,0
IslandLake,7
Isle,3
IsleofPalms,1
Islesboro,0
Isleton,7
Issaquah,20
Itasca,8
Ithaca,41
Iva,4
Ivyland,0
JacintoCity,13
Jacksboro,11
Jackson,1075
JacksonTownship,25
JacksonTownshipCambriaCounty,4
JacksonTownshipLuzerneCounty,0
JacksonTownshipMontgomeryCounty,8
JacksonTownshipStarkCounty,52
Jacksonville,6237
JacksonvilleBeach,113
Jal,14
Jamesburg,10
Jamestown,256
Janesville,153
Jarrell,1
Jasper,90
Jay,20
Jefferson,18
JeffersonCity,133
JeffersonHillsBorough,25
JeffersonTownship,10
Jeffersontown,31
Jeffersonville,114
Jellico,7
Jena,3
Jenkins,0
Jenks,27
Jennings,3
Jericho,0
Jerome,43
JerseyCity,1393
JerseyVillage,18
Jerseyville,33
Johnson,6
JohnsonCity,286
JohnsonCityVillage,61
Johnsonville,1
Johnston,61
Johnstown,30
Joliet,751
Jones,5
JonesCreek,2
Jonesboro,537
Jonesborough,20
Jonesburg,0
Jonestown,9
Jonesville,9
Joplin,307
Jordan,4
JordanVillage,0
Joshua,6
Jourdanton,1
Judsonia,12
JunctionCity,219
Juneau,293
JunoBeach,1
Jupiter,118
JupiterInletColony,1
JupiterIsland,1
JurupaValley,317
Justice,4
Kadoka,2
Kalama,3
Kalamazoo,949
KalamazooTownship,96
Kalispell,102
Kalkaska,1
Kanab,8
Kankakee,236
Kannapolis,132
Kanopolis,0
Kansas,0
KansasCity,7099
Kaplan,32
KarnesCity,9
Kasson,6
Katy,60
Kaufman,17
Kaukauna,14
Kaysville,23
Keansburg,21
Kearney,7
Kearny,55
KeegoHarbor,1
Keene,52
Keizer,61
Keller,25
Kellogg,4
Kelso,33
Kemmerer,1
Kenai,75
Kenansville,2
Kenbridge,0
Kenedy,43
Kenilworth,10
Kenmare,0
Kenmore,18
KenmoreVillage,11
Kennebunk,8
Kennebunkport,2
Kennedale,19
Kenner,149
Kennesaw,48
KennethCity,18
Kennewick,253
Kenosha,311
Kensett,7
Kensington,6
KensingtonVillage,0
Kent,516
KentTown,5
Kenton,26
Kentwood,162
Kerens,9
Kerman,23
Kermit,22
Kernersville,65
Kerrville,50
Kersey,3
Ketchikan,40
Ketchum,12
Kettering,56
Kewanee,55
Kewaskum,2
Kewaunee,5
KeyBiscayne,5
KeyColonyBeach,0
KeyWest,96
Keyport,12
Kiefer,2
Kiel,11
Kildeer,0
Kilgore,46
KillDevilHills,19
Killdeer,3
Killeen,583
Killington,0
Kilmarnock,1
Kimball,5
KimberlingCity,8
Kimberly,5
Kimmswick,0
Kincaid,5
Kinde,0
Kinder,10
King,9
KingCity,20
Kingfisher,17
Kingman,110
KingsMountain,15
KingsPointVillage,2
Kingsburg,18
Kingsford,10
Kingsport,332
Kingston,101
KingstonSprings,1
KingstonTownship,4
Kingstree,17
Kingsville,130
Kinnelon,1
KinrossTownship,8
Kiowa,5
Kirby,22
KirklandTown,0
Kirtland,6
Kissimmee,368
Kittery,8
KittyHawk,4
KlamathFalls,105
Knightdale,42
KnoxCity,2
Knoxville,1259
Kodiak,49
Kohler,0
Kokomo,392
Konawa,6
Kosciusko,23
Kotzebue,77
Kountze,6
Krebs,2
Kronenwetter,7
KrotzSprings,8
Kyle,68
LaCanadaFlintridge,15
LaCenter,3
LaCrescent,2
LaCrosse,122
LaFarge,0
LaFeria,19
LaFollette,52
LaGrande,14
LaGrange,39
LaGrangePark,6
LaGrulla,6
LaHabra,140
LaHabraHeights,4
LaHarpe,0
LaJunta,32
LaMarque,71
LaMesa,174
LaMirada,86
LaPalma,17
LaPlata,50
LaPorte,199
LaPuente,151
LaQuinta,68
LaSalle,11
LaVergne,142
LaVerkin,8
LaVerne,51
LaVernia,1
LaVista,19
Lacey,105
LaceyTownship,25
Lackawanna,81
Lacon,3
Laconia,37
LacyLakeview,17
Ladd,0
Ladue,8
LadyLake,16
Ladysmith,3
Lafayette,1117
LagoVista,18
LagunaBeach,38
LagunaHills,32
LagunaNiguel,43
LagunaVista,5
LagunaWoods,7
Lahoma,6
Laingsburg,2
LakeAlfred,3
LakeAngelus,0
LakeArthur,7
LakeBluff,1
LakeCharles,413
LakeCity,294
LakeClarkeShores,4
LakeComo,1
LakeCrystal,5
LakeDallas,22
LakeDelton,24
LakeElsinore,173
LakeForest,74
LakeForestPark,3
LakeGeneva,9
LakeHallie,12
LakeHamilton,2
LakeHavasuCity,87
LakeHelen,3
LakeJackson,57
LakeLinden,0
LakeLotawana,1
LakeMary,20
LakeMills,10
LakeOdessa,2
LakeOrion,6
LakeOswego,24
LakeOzark,1
LakePark,86
LakePlacid,14
LakePlacidVillage,3
LakeQuivira,0
LakeShastina,3
LakeShore,0
LakeStLouis,22
LakeStevens,44
LakeSuccessVillage,0
LakeTapawingo,3
LakeVilla,5
LakeVillage,20
LakeWales,55
LakeWorth,415
LakeZurich,8
Lakehurst,5
LakeintheHills,19
Lakeland,350
Lakemoor,1
Lakemore,8
Lakeport,34
LakesArea,11
Lakeshire,1
Lakeside,3
LakesideParkCrestviewHills,3
Lakeview,5
LakeviewHarrisonCounty,5
Lakeville,61
Lakeway,9
Lakewood,745
LakewoodBusti,5
LakewoodTownship,148
Lamar,6
Lamberton,0
Lambertville,1
Lamesa,74
Lamont,1
Lampasas,15
Lanark,1
Lancaster,1642
LancasterTown,21
LancasterTownshipButlerCounty,1
LancasterTownshipLancasterCounty,21
Lander,0
LandoverHills,9
LanghorneBorough,2
LanghorneManor,0
Langley,2
Langston,1
Lansdale,23
Lansdowne,18
Lansford,26
Lansing,1450
LansingTownship,70
Lantana,78
Lapeer,35
LapeerTownship,1
Laramie,58
LarchmontVillage,2
Laredo,836
Largo,329
Larned,15
LasCruces,514
LasVegasMetropolitanPoliceDepartment,8854
Lathrop,2
LathrupVillage,3
LatimoreTownship,4
Latta,20
Lauderdale,3
LauderdaleLakes,329
LauderdalebytheSea,17
Lauderhill,571
Laurel,338
LaurelSprings,2
Laurens,80
Laurie,4
Laurinburg,160
Laurium,0
Lavallette,0
Lavon,4
Lavonia,15
Lawndale,125
Lawnside,6
Lawrence,719
LawrenceParkTownship,5
LawrenceTownship,6
LawrenceTownshipMercerCounty,45
Lawrenceburg,54
Lawrenceville,1
Lawson,9
Lawtey,4
Lawton,858
Layton,129
LeCenter,0
LeMars,24
LeRoy,6
LeSueur,0
Lead,2
Leadville,8
LeagueCity,121
Leander,67
Leawood,19
Lebanon,343
LebanonJunction,1
LebanonTownship,2
Lebo,0
Ledyard,6
Lee,11
LeesSummit,115
Leesburg,274
Leesville,55
Leetsdale,2
Lehighton,23
Leicester,23
Leitchfield,13
LemonGrove,167
Lemont,17
Lemoore,126
Lena,0
Lenexa,87
Lennon,0
Lennox,5
Lenoir,78
LenoirCity,37
Lenox,7
Lenzburg,0
Leominster,239
LeonValley,14
Leonia,3
Leslie,1
LesterPrairie,0
Levelland,140
Lewes,4
LewisboroTown,0
Lewisburg,3
Lewisport,0
Lewiston,149
LewistonTownandVillage,4
Lewisville,239
Lexington,1254
Libby,4
Liberty,50
LibertyHill,2
LibertyLake,8
LibertyVillage,29
Licking,8
LighthousePoint,9
Ligonier,1
Lilbourn,0
Lilburn,23
Lima,259
Limestone,2
Limon,0
Lincoln,1234
LincolnPark,226
LincolnTownship,14
Lincolnwood,14
Linden,165
Lindenhurst,5
Lindenwold,123
Lindsay,77
Lindsborg,1
LinnTownship,0
LinoLakes,19
Linwood,2
Lisbon,12
Lisle,9
Litchfield,23
LittleCompton,2
LittleEggHarborTownship,18
LittleFalls,22
LittleFallsTownship,20
LittleFerry,9
LittleFlock,10
LittleRiver,0
LittleRock,3009
LittleSilver,2
Littlefield,30
Littleton,70
LiveOak,97
Livermore,193
LivermoreFalls,16
LiverpoolVillage,0
Livingston,68
LivingstonTownship,6
Livonia,167
LloydHarborVillage,3
LloydTown,7
Loami,0
LochArbour,0
Lockhart,2
Lockland,24
Lockport,21
LocustGrove,1
Lodi,274
Logan,141
LoganTownship,5
LomaLinda,77
Lombard,43
Lomira,2
Lomita,67
Lompoc,291
London,31
Londonderry,20
LoneGrove,0
LoneJack,5
LoneTree,47
LongBeach,2389
LongBeachTownship,10
LongBranch,109
LongHillTownship,3
LongPrairie,5
LongView,5
LongboatKey,0
Longmeadow,10
Longmont,422
Longport,1
Longview,475
Longwood,44
Lonoke,22
Lonsdale,1
Loogootee,7
LookoutMountain,0
LopatcongTownship,4
Lorain,289
Lordsburg,12
Lordstown,3
Lorena,11
Loretto,7
Loris,34
LosAlamitos,6
LosAltos,21
LosAltosHills,3
LosAngeles,29400
LosBanos,143
LosFresnos,53
LosGatos,14
LosLunas,205
Loudon,9
Loudonville,10
Louisa,6
Louisburg,29
Louisiana,12
Louisville,22
LouisvilleMetro,4640
Loveland,238
Lovelock,6
LovesPark,74
Lovington,16
Lowell,449
LowerAllenTownship,26
LowerAllowaysCreekTownship,1
LowerBurrell,16
LowerHeidelbergTownship,7
LowerMerionTownship,29
LowerSalfordTownship,0
LowerTownship,41
LowvilleVillage,3
LoxatacheeGroves,11
Loyall,0
Lubbock,2613
Ludington,32
Ludlow,79
Lufkin,184
Luke,0
Luling,25
Lumberton,22
LumbertonTownship,22
Lunenburg,23
Luray,11
Lusk,5
Lutcher,4
Luther,4
Luxemburg,3
Luxora,1
LuzerneTownship,0
Lyford,4
Lyman,24
LynbrookVillage,13
Lynchburg,316
Lyndeborough,0
Lynden,14
Lyndhurst,14
LyndhurstTownship,13
Lyndon,5
Lyndonville,3
Lynn,465
LynnHaven,29
Lynnfield,2
Lynnwood,113
Lynwood,454
LyonTownship,13
Lyons,16
Lytle,1
MacedonTownandVillage,5
MachesneyPark,56
Machias,2
MackinacIsland,2
Mackinaw,3
MackinawCity,0
Macksville,0
Macomb,59
Madawaska,0
Madbury,0
MadeiraBeach,14
Madelia,3
Madera,334
Madill,10
Madison,976
MadisonHeights,53
MadisonTownship,11
MadisonTownshipFranklinCounty,18
MadisonTownshipLakeCounty,9
Madisonville,58
Madras,21
Magdalena,3
MaggieValley,14
Magnolia,27
Mahomet,10
MahoningTownshipCarbonCounty,20
MahoningTownshipLawrenceCounty,1
MahwahTownship,8
Maitland,28
Maize,8
Malden,162
Malibu,44
MaloneVillage,12
Malvern,2
MalverneVillage,2
MamaroneckTown,2
MamaroneckVillage,16
Mammoth,3
MammothLakes,42
Manalapan,3
ManalapanTownship,18
Manasquan,7
Manassas,103
ManassasPark,21
Manawa,10
Mancelona,0
Manchester,874
ManchesterTownship,12
ManchesterVillage,0
ManchesterbytheSea,2
Mancos,2
Mandan,85
Mandeville,18
MangoniaPark,33
Mangum,9
Manhattan,8
ManhattanBeach,55
Manheim,25
Manistee,23
Manistique,16
ManitouSprings,5
Manitowoc,73
Mankato,110
ManliusTown,19
Mannford,5
Manning,58
Manor,48
ManorTownshipArmstrongCounty,1
ManorTownshipLancasterCounty,8
Mansfield,319
